n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
2,0.003,1.5,30000,1.604565,32.5
2,0.003,1.5,50000,1.604328,52.812
2,0.003,1.8,500,1.625961,45.312
2,0.003,1.8,1000,1.625151,44.688
2,0.003,1.8,2000,1.626305,49.375
2,0.003,1.8,3000,1.624447,36.562
2,0.003,1.8,5000,1.624413,44.375
2,0.003,1.8,7000,1.61927,41.875
2,0.003,1.8,10000,1.623562,49.688
2,0.003,1.8,15000,1.616288,41.562
2,0.003,1.8,20000,1.61547,41.25
2,0.003,1.8,30000,1.621293,46.875
2,0.003,1.8,50000,1.61899,32.5
2,0.01,0.03,500,1.9598,48.125
2,0.01,0.03,1000,1.750086,49.688
2,0.01,0.03,2000,1.684535,45
2,0.01,0.03,3000,1.644106,43.75
2,0.01,0.03,5000,1.633688,44.062
2,0.01,0.03,7000,1.63114,43.438
2,0.01,0.03,10000,1.632984,33.75
2,0.01,0.03,15000,1.630044,34.062
2,0.01,0.03,20000,1.627067,44.062
2,0.01,0.03,30000,1.625217,45.312
2,0.01,0.03,50000,1.624252,42.5
2,0.01,0.1,500,1.688834,50.625
2,0.01,0.1,1000,1.661174,43.75
2,0.01,0.1,2000,1.631453,44.062
2,0.01,0.1,3000,1.629166,43.75
2,0.01,0.1,5000,1.627063,34.062
2,0.01,0.1,7000,1.614817,51.25
2,0.01,0.1,10000,1.625239,45
2,0.01,0.1,15000,1.623412,30.938
2,0.01,0.1,20000,1.624139,42.5
2,0.01,0.1,30000,1.610183,48.438
2,0.01,0.1,50000,1.622541,39.062
2,0.01,0.3,500,1.634988,40.938
2,0.01,0.3,1000,1.629528,44.375
2,0.01,0.3,2000,1.627595,30.312
2,0.01,0.3,3000,1.624943,42.188
2,0.01,0.3,5000,1.624901,45
2,0.01,0.3,7000,1.625226,45
2,0.01,0.3,10000,1.623093,39.688
2,0.01,0.3,15000,1.622605,39.062
2,0.01,0.3,20000,1.622362,39.375
2,0.01,0.3,30000,1.605477,47.812
2,0.01,0.3,50000,1.616329,40.625
2,0.01,0.5,500,1.630451,43.125
2,0.01,0.5,1000,1.629279,33.125
2,0.01,0.5,2000,1.632178,48.75
2,0.01,0.5,3000,1.629861,48.125
2,0.01,0.5,5000,1.625554,44.062
2,0.01,0.5,7000,1.622987,39.375
2,0.01,0.5,10000,1.622536,39.062
2,0.01,0.5,15000,1.618872,32.188
2,0.01,0.5,20000,1.618468,40.938
2,0.01,0.5,30000,1.61792,32.188
2,0.01,0.5,50000,1.611921,33.75
2,0.01,0.7,500,1.628539,44.688
2,0.01,0.7,1000,1.62595,46.25
2,0.01,0.7,2000,1.624452,43.75
2,0.01,0.7,3000,1.629365,49.062
2,0.01,0.7,5000,1.622942,39.375
2,0.01,0.7,7000,1.620044,31.25
2,0.01,0.7,10000,1.620123,31.562
2,0.01,0.7,15000,1.61921,43.75
2,0.01,0.7,20000,1.62228,43.75
2,0.01,0.7,30000,1.614841,40.938
2,0.01,0.7,50000,1.613516,40.938
2,0.01,0.9,500,1.627754,44.062
2,0.01,0.9,1000,1.625987,44.688
2,0.01,0.9,2000,1.624488,44.062
2,0.01,0.9,3000,1.623377,44.062
2,0.01,0.9,5000,1.610626,49.375
2,0.01,0.9,7000,1.622991,40.938
2,0.01,0.9,10000,1.619574,44.062
2,0.01,0.9,15000,1.616811,43.438
2,0.01,0.9,20000,1.607248,49.375
2,0.01,0.9,30000,1.614644,40.625
2,0.01,0.9,50000,1.61338,40.312
2,0.01,1.1,500,1.626634,44.688
2,0.01,1.1,1000,1.626049,43.75
2,0.01,1.1,2000,1.625015,45.312
2,0.01,1.1,3000,1.62311,39.688
2,0.01,1.1,5000,1.623131,38.125
2,0.01,1.1,7000,1.612825,52.5
2,0.01,1.1,10000,1.627957,46.25
2,0.01,1.1,15000,1.616031,41.25
2,0.01,1.1,20000,1.616176,44.062
2,0.01,1.1,30000,1.614736,44.062
2,0.01,1.1,50000,1.611985,40.938
2,0.01,1.3,500,1.626893,44.688
2,0.01,1.3,1000,1.624492,42.5
2,0.01,1.3,2000,1.622289,30
2,0.01,1.3,3000,1.62377,39.062
2,0.01,1.3,5000,1.621112,30.312
2,0.01,1.3,7000,1.622886,37.5
2,0.01,1.3,10000,1.620628,30.312
2,0.01,1.3,15000,1.622618,53.438
2,0.01,1.3,20000,1.611832,34.062
2,0.01,1.3,30000,1.605116,32.812
2,0.01,1.3,50000,1.618074,30.312
2,0.01,1.5,500,1.626432,44.688
2,0.01,1.5,1000,1.625408,44.688
2,0.01,1.5,2000,1.622703,31.562
2,0.01,1.5,3000,1.625163,44.375
2,0.01,1.5,5000,1.610945,51.562
2,0.01,1.5,7000,1.621481,30.938
2,0.01,1.5,10000,1.617617,41.875
2,0.01,1.5,15000,1.609523,49.062
2,0.01,1.5,20000,1.620401,42.812
2,0.01,1.5,30000,1.604568,32.5
2,0.01,1.5,50000,1.604324,52.812
2,0.01,1.8,500,1.627658,30.312
2,0.01,1.8,1000,1.629232,50.938
2,0.01,1.8,2000,1.623469,31.875
2,0.01,1.8,3000,1.624458,30
2,0.01,1.8,5000,1.620301,40.938
2,0.01,1.8,7000,1.636922,46.562
2,0.01,1.8,10000,1.617546,41.25
2,0.01,1.8,15000,1.621731,30
2,0.01,1.8,20000,1.621385,30
2,0.01,1.8,30000,1.614628,40.312
2,0.01,1.8,50000,1.613146,40
2,0.03,0.03,500,1.874716,48.125
2,0.03,0.03,1000,1.751252,49.688
2,0.03,0.03,2000,1.687546,37.188
2,0.03,0.03,3000,1.647371,35.312
2,0.03,0.03,5000,1.643183,36.25
2,0.03,0.03,7000,1.637496,48.125
2,0.03,0.03,10000,1.629589,43.75
2,0.03,0.03,15000,1.627767,45
2,0.03,0.03,20000,1.630235,44.375
2,0.03,0.03,30000,1.626294,44.688
2,0.03,0.03,50000,1.623792,43.125
2,0.03,0.1,500,1.684701,43.75
2,0.03,0.1,1000,1.663357,45
2,0.03,0.1,2000,1.631723,40.312
2,0.03,0.1,3000,1.628384,41.562
2,0.03,0.1,5000,1.626909,44.688
2,0.03,0.1,7000,1.615564,49.062
2,0.03,0.1,10000,1.625012,44.375
2,0.03,0.1,15000,1.625721,52.5
2,0.03,0.1,20000,1.625438,51.562
2,0.03,0.1,30000,1.60992,48.438
2,0.03,0.1,50000,1.622654,40.312
2,0.03,0.3,500,1.636511,44.062
2,0.03,0.3,1000,1.637235,51.25
2,0.03,0.3,2000,1.627018,44.688
2,0.03,0.3,3000,1.625748,45.312
2,0.03,0.3,5000,1.624735,45
2,0.03,0.3,7000,1.624227,41.875
2,0.03,0.3,10000,1.62314,39.375
2,0.03,0.3,15000,1.622698,45
2,0.03,0.3,20000,1.622387,39.688
2,0.03,0.3,30000,1.618401,42.812
2,0.03,0.3,50000,1.613095,33.125
2,0.03,0.5,500,1.629734,44.375
2,0.03,0.5,1000,1.627118,44.062
2,0.03,0.5,2000,1.625266,31.875
2,0.03,0.5,3000,1.625651,45
2,0.03,0.5,5000,1.629219,48.75
2,0.03,0.5,7000,1.609137,48.125
2,0.03,0.5,10000,1.622442,39.375
2,0.03,0.5,15000,1.622384,39.062
2,0.03,0.5,20000,1.618846,43.125
2,0.03,0.5,30000,1.616035,40.625
2,0.03,0.5,50000,1.614225,40.938
2,0.03,0.7,500,1.628434,45.312
2,0.03,0.7,1000,1.626644,45.312
2,0.03,0.7,2000,1.624969,45
2,0.03,0.7,3000,1.611254,48.438
2,0.03,0.7,5000,1.624308,52.812
2,0.03,0.7,7000,1.622642,40.312
2,0.03,0.7,10000,1.620132,31.25
2,0.03,0.7,15000,1.618373,40.938
2,0.03,0.7,20000,1.615176,39.062
2,0.03,0.7,30000,1.614863,40.938
2,0.03,0.7,50000,1.617852,31.562
2,0.03,0.9,500,1.628043,47.5
2,0.03,0.9,1000,1.625542,45.312
2,0.03,0.9,2000,1.623844,42.5
